origin_warehouse,destination_store,product,on_time,product_quantity,driver_identifier
d5566b15-b071-4acf-8e8e-c98433083b2d,50d33715-4c77-4dd9-8b9d-ff1ca372a2a2,lotion,true,59,d8da0460-cf39-4f38-9fff-6c9b4e344d8a
c42f0de8-b4f0-4167-abd1-ae79e5e18eea,172eb8f3-1033-4fb6-b66b-d0df09df3161,windows,true,28,293ccaec-6592-4f04-aae5-3e238fe62614
b145f396-de9b-42f1-9cc9-f5b52c3a941c,65e4544d-42ae-4751-9580-bdcb90e5fcda,skis,true,63,80988f09-91a3-4e1b-8e69-13551c53f318
f4372224-759f-43b3-bc83-ca6106bba1af,745bee4e-710c-4538-8df1-5c146e1092a6,bikes,true,47,5f79b402-655f-4d8e-8ff3-5ef05870e0ad
49d0edae-9091-41bb-a08d-ab1c66bd08d5,425b7a1a-b744-4c6b-898e-d424dd8cf18e,candy,false,73,58beb5d3-98f8-4077-a964-1f04f7cb11e5
b26d55e2-eb75-4bce-89cf-5cee095eaeea,0495233b-9470-4e1a-bb30-a1ee3150c092,capes,false,35,42cf0f3d-6878-4eee-a989-4975261e65dd
6ae04f04-85df-4b89-b057-5cb0459baab7,b0fcee8c-9047-405c-8316-28a38292be9d,carnivorous plants,true,5,479d4eb2-6d9e-4750-b8f3-b0a6621423f2
9a6ee454-f8ca-4a5a-b751-402ce8257b5b,5958bf67-e190-4171-91eb-298b69c89282,shoes,true,85,7be9d33a-5c2d-4477-a0d4-ae3a2e0b5fa8
84003744-296e-4294-86a3-8a96439d4ee8,d15bcc56-8948-4c3d-98ae-925d64b3f539,snakes,true,34,79a8e542-dbc1-4e67-9b4a-98df8cd1b3cc
b23deb12-0dc3-40c3-889c-8e8d3206dc4a,a22439e8-7918-4cae-806a-9f6ae0de6828,alternators,false,88,8cd769fd-383c-48fd-9553-a53d8215e1b8
7cd8ea7c-cea3-46fa-a913-724d59233a43,5f3d5c26-5d8b-4e48-88b0-b89d6aa5848d,motor oil,false,72,776b6a91-ebb0-41b5-a96f-61d2c94720e8
446119d3-b86d-4648-93e1-7c9104fe6462,7486257f-61aa-4829-bafa-3d46366ce403,trampolines,false,15,f45a9c70-7c12-47a5-bf01-5aea93120d69
c42e63e2-e613-45df-9321-09c58bcedcf4,a3421fb8-ec22-489a-b8b2-8760a0474175,shoes,true,68,fdde8145-7afe-4802-a8df-ebcc090683a6
742df199-0e51-44d2-93ba-a5e3885d79ed,2aba8b17-dd45-46e7-84df-701e2f319c1b,paint,true,58,bde715f4-a3b5-497a-bfa0-96a1fac31cef
c32eed70-314d-4321-b3f3-ea6c673d1cd7,7563cab2-7380-4b36-a04a-624aa1cdb54c,hydroponic equipment,false,40,ba911cf2-5b62-4b5c-bca7-ab69c3a06c6b
2ba7bb1e-3a26-4638-850b-af1689dbf1f8,de08b73c-d432-4a4f-bb30-de1cecebb529,alternators,true,71,a00bc9eb-ddf2-4ba2-8a9f-c14b15748420
70aee49a-32ac-4b29-9f05-59de1c043a48,80aae915-f2ef-486d-b074-54106ac01532,lamps,true,76,6b27d6a9-1787-478b-a73a-0ded3ca7e026
fd861308-291c-435e-a11b-92cbba182fb4,c974d7dc-20af-4058-9383-01cdcd9494ad,fruit,false,82,bfcd12fc-e848-41c6-a891-61cf7469128a
6af1f98f-7555-430a-9d7f-d0f70f1b0a54,e7cb4714-32c9-476b-8af4-e994b391badc,balloons,false,58,96a9547b-b6bc-4967-9b33-62cbf33e15d0
73608d6a-cc61-4043-b95c-175ba478ba7c,0e00dc18-d5b9-4555-be83-cb7af77f2208,pants,false,83,1b6f801b-35a7-4d10-a5e3-50ed90c6bd19
2316da83-4a83-497c-bdf4-55ca9e8cadb9,6d7f8b2b-42ae-4ff8-8183-26a3257a91a0,apples,false,11,2587368e-5b2b-48e0-8041-1f757876866b
71a28ff5-ef5d-4279-b9b7-8afa7174f579,1e6c05e9-a48c-486c-8143-ed93c11c8b09,lamps,true,34,8d322706-d9fc-4ed2-92a3-cec0b186a9c7
3f9c4c5a-b644-40ed-8c3e-4776bdcac303,ea316ba1-76cb-4139-b609-9c5a6d09563d,water bottles,false,14,c51ac282-1e36-4f1f-b624-d1fd3616983c
7103af48-0693-401e-a8a9-7063ff0d0722,7bd51828-f481-41de-97ac-8712792b2e57,pencil sharpeners,true,29,9e292324-8448-4254-8c0a-b0e373aaeaee
fb374a17-e2b4-4274-b777-a09cccc8dc7b,f3a36c1d-ff0a-4ee8-b55b-7d43e8e7a73d,yarn,false,31,99b624a1-e072-48c6-b427-0b134ca63866
eea522eb-17c1-42e2-8e33-c33710b7d329,681aa23a-70ea-4b69-babb-3d14009779b3,journals,false,57,d34249fa-8f2a-4052-83ba-7118122d5e34
23924ca0-acae-4a6a-aa64-8d47b169f078,69542d28-1cc7-439e-abfd-de0ea90636fb,socks,false,38,2aac468c-cd83-4265-bebd-df004337ed90
6307c024-1705-4508-b05f-ac96dba72fca,73511170-19d5-4686-96d7-1dedcc3cb5cf,lamps,false,48,4bd802cd-5b6c-4725-bb63-57b30a411424
9b878a0f-d9e2-47be-bfd2-2fc381dba95a,aeda3a81-6cc3-4f26-8d5d-3abc117f4866,toys,true,93,970801bf-4d8b-445d-8271-447b5e7a5e28
